No,Nama Vendor,Nama Makanan,Harga,Protein,Karbohidrat,Lemak,Kalori
1,Apel Oren 23,Chicken Moza Stick,15000,20,20,20,300
2,Apel Oren 23,Sate Lilit Bali,15000,25,16,20,300
3,Apel Oren 23,Spicy Wings Mozza,15000,25,15,20,300
4,Apel Oren 23,Chicken Cordon Bleu,15000,20,25,21,315
5,Apel Oren 23,Korean Garlic Chesee Bread,15000,151,40,20,400
6,Apel Oren 23,Lasagna,15000,25,50,25,500
7,Apel Oren 23,Sambosa,15000,5,25,15,250
8,Apel Oren 23,Risols Luber,12000,6,20,10,200
9,Apel Oren 23,Risols Ice Cream,12000,6,20,10,200
10,Apel Oren 23,Yougurt Dessert,12000,4,5,4,70
11,Ayam Ngajerit,Nasi,5000,2.7,28,0.3,130
12,Ayam Ngajerit,Ayam Goreng,12000,30,1.8,12,245.9
13,Ayam Ngajerit,Ayam Bakar,12000,17.14,0,15.85,216
14,Ayam Ngajerit,Ayam Penyet,12000,25.05,5.29,8.53,199
15,Ayam Ngajerit,Tahu,2000,8,1.9,4.8,76
16,Ayam Ngajerit,Tempe,2000,19,9,11,192.9
17,Ayam Ngajerit,Sambal Cumi,10000,16.1,3.08,1.38,75
18,Ayam Ngajerit,Sambal Teri,10000,1,3,1.5,30
19,Ayam Ngajerit,Sambal Bawang,3000,0,2,2,31
20,Ayam Ngajerit,Sambal Ngajerit,3000,0.3,1.3,2.4,6
21,Ayam Ngajerit,Sambal Surawung,3000,3.15,0.6,1.3,22
22,Ayam Ngajerit,Ikan asin,5000,42,0,1.5,193
23,Ayam Ngajerit,Sayur asem,7000,3.18,12.9,2.76,801
24,Bakmie Amoy,Bakmie Amoy Asin,13000,15,60,15,300
25,Bakmie Amoy,Bakmie Amoy Manis,13000,10,70,15,300
26,Bakmie Amoy,Bakmie Amoy Asin Pedas,13000,20,60,15,300
27,Bakmie Amoy,Bakmie Amoy Manis Pedas,13000,10,60,15,250
28,Bakmie Amoy,Kerupuk Pangsit,3000,3,5,3,40
29,Bakmie Amoy,Pangsit Rebus,2000,3,5,3,30
30,Bakmie Amoy,Pangsit Goreng,2000,5,10,10,100
31,Batagor Hegar,Batagor kering,10000,15,30,15,200
32,Batagor Hegar,Batagor Kuah,10000,20,40,20,300
33,Batagor Hegar,Batagor Kuah Special,12000,24,45,35,310
34,Daput Queen,Nasi Bakar Ayam,13000,25,43,14,325
35,Daput Queen,Nasi Bakar Tongkol,13000,24,40,14,320
36,Daput Queen,Nasi Bakar Teri Jengkol,13000,24,40,14,315
37,Daput Queen,Nasi Bakar Cumi Asin Pedas,16000,25,43,14,330
38,Dapur Raozz,Ayam Geprek Sambal Raozz,15000,22,10,5,300
39,Dapur Raozz,Ayam Geprek Sambal Rampuzz,15000,22,10,5,300
40,Dapur Raozz,Ayam Geprek Sambal Goang,15000,23,12,5,300
